id,league_id,season_id,stage_id,round_id,group_id,aggregate_id,venue_id,referee_id,localteam_id,visitorteam_id,winner_team_id,weather_report,commentaries,attendance,pitch,details,neutral_venue,winning_odds_calculated,formations,scores,time,coaches,standings,assistants,leg,colors,deleted,is_placeholder,stage,competitive
1108258,732,5796,12917,124723,246401,,2002,67232,18652,18737,,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 0, 'visitorteam_score': 0, 'localteam_pen_score': None, 'visitorteam_pen_score': 0, 'ht_score': '0-0', 'ft_score': '0-0', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2014-06-16 19:00:00', 'date': '2014-06-16', 'time': '19:00:00', 'timestamp': 1402945200, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': 14023, 'second_assistant_id': 14911, 'fourth_official_id': 14905}",1/1,,False,False,0,1
1108268,732,5796,12917,124723,246402,,4986,21401,18553,18571,18571,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 1, 'visitorteam_score': 2, 'localteam_pen_score': None, 'visitorteam_pen_score': 0, 'ht_score': '0-1', 'ft_score': '1-2', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2014-06-16 22:00:00', 'date': '2014-06-16', 'time': '22:00:00', 'timestamp': 1402956000, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': 12754, 'second_assistant_id': 12869, 'fourth_official_id': 31508}",1/1,,False,False,0,1
1108278,732,5796,12917,124723,246403,,1972,,18743,18620,18743,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 2, 'visitorteam_score': 1, 'localteam_pen_score': None, 'visitorteam_pen_score': 0, 'ht_score': '0-1', 'ft_score': '2-1', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2014-06-17 16:00:00', 'date': '2014-06-17', 'time': '16:00:00', 'timestamp': 1403020800, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': 12690, 'second_assistant_id': 12688, 'fourth_official_id': 23415}",1/1,,False,False,0,1
1108289,732,5796,12917,124723,246403,,10495,18783,18702,18567,,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 1, 'visitorteam_score': 1, 'localteam_pen_score': None, 'visitorteam_pen_score': 0, 'ht_score': '0-0', 'ft_score': '1-1', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2014-06-17 22:00:00', 'date': '2014-06-17', 'time': '22:00:00', 'timestamp': 1403042400, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': 18423, 'second_assistant_id': 18342, 'fourth_official_id': None}",1/1,,False,False,0,1
1108311,732,5796,12917,124731,246396,,8332,14516,18704,18576,,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 0, 'visitorteam_score': 0, 'localteam_pen_score': None, 'visitorteam_pen_score': 0, 'ht_score': '0-0', 'ft_score': '0-0', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2014-06-17 19:00:00', 'date': '2014-06-17', 'time': '19:00:00', 'timestamp': 1403031600, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': 12806, 'second_assistant_id': 12882, 'fourth_official_id': 16860}",1/1,,False,False,0,1
1108331,732,5796,12917,124731,246397,,1604,,18730,18694,18694,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 2, 'visitorteam_score': 3, 'localteam_pen_score': None, 'visitorteam_pen_score': 0, 'ht_score': '1-1', 'ft_score': '2-3', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2014-06-18 16:00:00', 'date': '2014-06-18', 'time': '16:00:00', 'timestamp': 1403107200, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': 30466, 'second_assistant_id': 15783, 'fourth_official_id': 13616}",1/1,,False,False,0,1
1108342,732,5796,12917,124731,246397,,392,25228,18710,18774,18774,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 0, 'visitorteam_score': 2, 'localteam_pen_score': None, 'visitorteam_pen_score': 0, 'ht_score': '0-2', 'ft_score': '0-2', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2014-06-18 19:00:00', 'date': '2014-06-18', 'time': '19:00:00', 'timestamp': 1403118000, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': None, 'second_assistant_id': 26865, 'fourth_official_id': 31517}",1/1,,False,False,0,0
1108353,732,5796,12917,124731,246396,,10500,49333,18780,18588,18588,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 0, 'visitorteam_score': 4, 'localteam_pen_score': None, 'visitorteam_pen_score': 0, 'ht_score': '0-1', 'ft_score': '0-4', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2014-06-18 22:00:00', 'date': '2014-06-18', 'time': '22:00:00', 'timestamp': 1403128800, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': 49358, 'second_assistant_id': 49334, 'fourth_official_id': 38271}",1/1,,False,False,0,0
1108364,732,5796,12917,124731,246398,,10536,32980,18720,18560,18720,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 2, 'visitorteam_score': 1, 'localteam_pen_score': None, 'visitorteam_pen_score': 0, 'ht_score': '0-0', 'ft_score': '2-1', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2014-06-19 16:00:00', 'date': '2014-06-19', 'time': '16:00:00', 'timestamp': 1403193600, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': 42258, 'second_assistant_id': None, 'fourth_official_id': 14883}",1/1,,False,False,0,1
1108374,732,5796,12917,124731,246399,,10494,42253,15251,18645,15251,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 2, 'visitorteam_score': 1, 'localteam_pen_score': None, 'visitorteam_pen_score': 0, 'ht_score': '1-0', 'ft_score': '2-1', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2014-06-19 19:00:00', 'date': '2014-06-19', 'time': '19:00:00', 'timestamp': 1403204400, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': 15713, 'second_assistant_id': 15300, 'fourth_official_id': 23415}",1/1,,False,False,0,1
1108384,732,5796,12917,124731,246398,,4986,24618,18597,18568,,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 0, 'visitorteam_score': 0, 'localteam_pen_score': None, 'visitorteam_pen_score': 0, 'ht_score': '0-0', 'ft_score': '0-0', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2014-06-19 22:00:00', 'date': '2014-06-19', 'time': '22:00:00', 'timestamp': 1403215200, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': 24620, 'second_assistant_id': 24619, 'fourth_official_id': 31508}",1/1,,False,False,0,1
1108395,732,5796,12917,124731,246399,,8282,,18658,18598,18598,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 0, 'visitorteam_score': 1, 'localteam_pen_score': None, 'visitorteam_pen_score': 0, 'ht_score': '0-1', 'ft_score': '0-1', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2014-06-20 16:00:00', 'date': '2014-06-20', 'time': '16:00:00', 'timestamp': 1403280000, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': 16787, 'second_assistant_id': None, 'fourth_official_id': 13609}",1/1,,False,False,0,1
1108405,732,5796,12917,124731,246400,,10488,15767,18708,18647,18647,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 2, 'visitorteam_score': 5, 'localteam_pen_score': None, 'visitorteam_pen_score': 0, 'ht_score': '0-3', 'ft_score': '2-5', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2014-06-20 19:00:00', 'date': '2014-06-20', 'time': '19:00:00', 'timestamp': 1403290800, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': 12732, 'second_assistant_id': 12734, 'fourth_official_id': 16860}",1/1,,False,False,0,0
1108416,732,5796,12917,124731,246400,,2002,,18574,18573,18573,,False,,,,False,True,"{'localteam_formation': None, 'visitorteam_formation': None}","{'localteam_score': 1, 'visitorteam_score': 2, 'localteam_pen_score': None, 'visitorteam_pen_score': 0, 'ht_score': '1-1', 'ft_score': '1-2', 'et_score': None, 'ps_score': None}","{'status': 'FT', 'starting_at': {'date_time': '2014-06-20 22:00:00', 'date': '2014-06-20', 'time': '22:00:00', 'timestamp': 1403301600, 'timezone': 'UTC'}, 'minute': 90, 'second': None, 'added_time': None, 'extra_minute': None, 'injury_time': None}","{'localteam_coach_id': None, 'visitorteam_coach_id': None}","{'localteam_position': None, 'visitorteam_position': None}","{'first_assistant_id': 18624, 'second_assistant_id': None, 'fourth_official_id': 25467}",1/1,,False,False,0,1
